"","state","county_name","county_fips","trump_share_2016","trump_share_2020","delta_share","z_delta","shift_flag"
"1","TEXAS","STARR","48427",0.189437819420784,0.47058487874465,0.281147059323867,9.10419518323263,"High positive shift"
"2","TEXAS","MAVERICK","48323",0.207241683838681,0.448390460054737,0.241148776216056,7.71865021980095,"High positive shift"
"3","IDAHO","MADISON","16065",0.569926058133605,0.792367928938756,0.222441870805151,7.07064094141243,"High positive shift"
"4","TEXAS","JIM HOGG","48247",0.202925908447381,0.409135559921415,0.206209651474034,6.50835506331792,"High positive shift"
"5","TEXAS","KENEDY","48261",0.451612903225806,0.654639175257732,0.203026272031926,6.39808244634543,"High positive shift"
"6","TEXAS","ZAPATA","48505",0.327498408656906,0.524780588538978,0.197282179882071,6.19910645714444,"High positive shift"
"7","UTAH","CACHE","49005",0.457980371341292,0.651701566194866,0.193721194853575,6.07575354077574,"High positive shift"
"8","UTAH","JUAB","49023",0.676801532200144,0.867348678601875,0.190547146401732,5.96580415034103,"High positive shift"
"9","UTAH","BOX ELDER","49003",0.619711173042817,0.797394811826962,0.177683638784145,5.52021081965799,"High positive shift"
"10","UTAH","SANPETE","49039",0.656532861078316,0.828435643564356,0.171902782486041,5.31996131628377,"High positive shift"
"11","UTAH","UTAH","49049",0.506978382642607,0.678232484188458,0.171254101545851,5.29749093656444,"High positive shift"
"12","UTAH","MORGAN","49029",0.61402157164869,0.784287011807448,0.170265440158757,5.26324359645399,"High positive shift"
"13","TEXAS","DUVAL","48131",0.31573896353167,0.483475163269345,0.167736199737675,5.1756304277264,"High positive shift"
"14","IDAHO","FRANKLIN","16041",0.709401709401709,0.877100840336134,0.167699130934425,5.17434636027018,"High positive shift"
"15","TEXAS","REEVES","48389",0.445037688442211,0.61100569259962,0.165968004157409,5.11437993669918,"High positive shift"
"16","TEXAS","BROOKS","48047",0.23613251155624,0.401771336553945,0.165638824997705,5.10297713409473,"High positive shift"
"17","UTAH","DAVIS","49011",0.449523520529438,0.613229769041422,0.163706248511984,5.03603247026955,"High positive shift"
"18","UTAH","TOOELE","49045",0.511658802510422,0.666984066527011,0.155325264016589,4.74571423773705,"High positive shift"
"19","TEXAS","WEBB","48479",0.227519550127405,0.378642338114245,0.151122787986839,4.6001400019313,"High positive shift"
"20","TEXAS","EDWARDS","48137",0.69524697110904,0.837711069418386,0.142464098309346,4.3002020310881,"High positive shift"
"21","UTAH","MILLARD","49027",0.736360167874857,0.873021001615509,0.136660833740652,4.09917630273513,"High positive shift"
"22","TEXAS","WILLACY","48489",0.303631010794897,0.43989908091548,0.136268070120583,4.08557092737093,"High positive shift"
