year,adj_r2,rmse,n
2008,0.31983870591974317,0.11567799744693186,3116
2012,0.39424123170248615,0.11694147110425258,3116
2016,0.6137344715870612,0.10022353739251574,3115
2020,0.645146115253171,0.0969766011277749,3115
